Method,Instance,N,K,Q,Cost,Optimal_Value,Optimality_Gap(%),Processing_Time(s)
Clarke-Wright,XML100_1111_01,100,0,4,32292.0,29888.0,8.04,0.052527
Clarke-Wright,XML100_1111_02,100,0,4,40988.0,38374.0,6.81,0.053713
Clarke-Wright,XML100_1111_03,100,0,4,28766.0,26322.0,9.29,0.049442
Clarke-Wright,XML100_1111_04,100,0,3,38843.0,37554.0,3.43,0.056225
Clarke-Wright,XML100_1111_05,100,0,4,35856.0,33149.0,8.17,0.054112
Clarke-Wright,XML100_1111_06,100,0,4,29586.0,27039.0,9.42,0.049514
Clarke-Wright,XML100_1111_07,100,0,3,44864.0,43143.0,3.99,0.061005
Clarke-Wright,XML100_1111_08,100,0,4,32393.0,30140.0,7.48,0.054680
Clarke-Wright,XML100_1111_09,100,0,3,46088.0,44883.0,2.68,0.061539
Clarke-Wright,XML100_1111_10,100,0,3,34966.0,33868.0,3.24,0.056406
Clarke-Wright,XML100_1111_11,100,0,4,35500.0,33202.0,6.92,0.053577
Clarke-Wright,XML100_1111_12,100,0,4,35211.0,33059.0,6.51,0.053891
Clarke-Wright,XML100_1111_13,100,0,4,33341.0,31387.0,6.23,0.055762
Clarke-Wright,XML100_1111_14,100,0,4,36171.0,33469.0,8.07,0.052953
Clarke-Wright,XML100_1111_15,100,0,3,40616.0,38924.0,4.35,0.059885
Clarke-Wright,XML100_1111_16,100,0,3,30901.0,30145.0,2.51,0.050523
Clarke-Wright,XML100_1111_17,100,0,4,35705.0,33605.0,6.25,0.051927
Clarke-Wright,XML100_1111_18,100,0,4,30880.0,29087.0,6.16,0.049978
Clarke-Wright,XML100_1111_19,100,0,4,25193.0,22719.0,10.89,0.048467
Clarke-Wright,XML100_1111_20,100,0,4,38973.0,36098.0,7.96,0.051999
Clarke-Wright,XML100_1111_21,100,0,4,27842.0,25052.0,11.14,0.050681
Clarke-Wright,XML100_1111_22,100,0,3,56895.0,55795.0,1.97,0.057523
Clarke-Wright,XML100_1111_23,100,0,4,39326.0,37197.0,5.72,0.054198
Clarke-Wright,XML100_1111_24,100,0,4,39276.0,36733.0,6.92,0.057230
Clarke-Wright,XML100_1111_25,100,0,4,35894.0,33710.0,6.48,0.054006
Clarke-Wright,XML100_1111_26,100,0,3,39394.0,37730.0,4.41,0.055645
Clarke-Wright,XML100_1111_27,100,0,4,37354.0,34996.0,6.74,0.055218
Clarke-Wright,XML100_1112_01,100,0,5,27787.0,24781.0,12.13,0.049936
Clarke-Wright,XML100_1112_02,100,0,6,25763.0,22916.0,12.42,0.044568
Clarke-Wright,XML100_1112_03,100,0,5,29747.0,26980.0,10.26,0.049826
Clarke-Wright,XML100_1112_04,100,0,5,23650.0,20461.0,15.59,0.047447
Clarke-Wright,XML100_1112_05,100,0,5,30667.0,27833.0,10.18,0.047626
Clarke-Wright,XML100_1112_06,100,0,6,26201.0,22830.0,14.77,0.043892
Clarke-Wright,XML100_1112_07,100,0,6,26246.0,23362.0,12.34,0.047613
Clarke-Wright,XML100_1112_08,100,0,7,25550.0,21549.0,18.57,0.043102
Clarke-Wright,XML100_1112_09,100,0,7,28027.0,24512.0,14.34,0.044006
Clarke-Wright,XML100_1112_10,100,0,5,28841.0,25194.0,14.48,0.046601
Clarke-Wright,XML100_1112_11,100,0,6,26208.0,22629.0,15.82,0.049292
Clarke-Wright,XML100_1112_12,100,0,6,22768.0,19645.0,15.9,0.045788
Clarke-Wright,XML100_1112_13,100,0,7,24952.0,21710.0,14.93,0.042104
Clarke-Wright,XML100_1112_14,100,0,5,29220.0,26274.0,11.21,0.044832
Clarke-Wright,XML100_1112_15,100,0,5,27123.0,24272.0,11.75,0.043334
Clarke-Wright,XML100_1112_16,100,0,7,21314.0,19017.0,12.08,0.038356
Clarke-Wright,XML100_1112_17,100,0,6,26714.0,24215.0,10.32,0.042427
Clarke-Wright,XML100_1112_18,100,0,6,27014.0,23599.0,14.47,0.041672
Clarke-Wright,XML100_1112_19,100,0,6,25300.0,22294.0,13.48,0.043039
Clarke-Wright,XML100_1112_20,100,0,6,21870.0,18654.0,17.24,0.041156
Clarke-Wright,XML100_1112_21,100,0,5,26575.0,23786.0,11.73,0.043132
Clarke-Wright,XML100_1112_22,100,0,6,26192.0,23315.0,12.34,0.043055
Clarke-Wright,XML100_1112_23,100,0,5,28550.0,24503.0,16.52,0.043619
Clarke-Wright,XML100_1112_24,100,0,6,27294.0,23904.0,14.18,0.045250
Clarke-Wright,XML100_1112_25,100,0,5,24826.0,22054.0,12.57,0.044251
Clarke-Wright,XML100_1112_26,100,0,7,20807.0,16307.0,27.6,0.040813
Clarke-Wright,XML100_1112_27,100,0,5,23890.0,20487.0,16.61,0.040598
Clarke-Wright,XML100_1113_01,100,0,11,20460.0,14740.0,38.81,0.044111
Clarke-Wright,XML100_1113_02,100,0,10,18207.0,12795.0,42.3,0.030991
Clarke-Wright,XML100_1113_03,100,0,10,22024.0,16763.0,31.38,0.038136
Clarke-Wright,XML100_1113_04,100,0,8,23566.0,19276.0,22.26,0.040554
Clarke-Wright,XML100_1113_05,100,0,11,22006.0,17473.0,25.94,0.040282
Clarke-Wright,XML100_1113_06,100,0,10,19177.0,15063.0,27.31,0.040270
Clarke-Wright,XML100_1113_07,100,0,10,18025.0,14550.0,23.88,0.037360
Clarke-Wright,XML100_1113_08,100,0,8,23046.0,19200.0,20.03,0.041650
Clarke-Wright,XML100_1113_09,100,0,9,20442.0,16643.0,22.83,0.039457
