Method,Instance,N,K,Q,Cost,Optimal_Value,Optimality_Gap(%),Processing_Time(s)
My-Euristich,XML100_1111_01,100,0,4,None,29888.0,100.0,0.000029
My-Euristich,XML100_1111_02,100,0,4,None,38374.0,100.0,0.000009
My-Euristich,XML100_1111_03,100,0,4,None,26322.0,100.0,0.000007
My-Euristich,XML100_1111_04,100,0,3,None,37554.0,100.0,0.000007
My-Euristich,XML100_1111_05,100,0,4,None,33149.0,100.0,0.000011
My-Euristich,XML100_1111_06,100,0,4,None,27039.0,100.0,0.000009
My-Euristich,XML100_1111_07,100,0,3,None,43143.0,100.0,0.000009
My-Euristich,XML100_1111_08,100,0,4,None,30140.0,100.0,0.000006
My-Euristich,XML100_1111_09,100,0,3,None,44883.0,100.0,0.000035
My-Euristich,XML100_1111_10,100,0,3,None,33868.0,100.0,0.000010
My-Euristich,XML100_1111_11,100,0,4,None,33202.0,100.0,0.000011
My-Euristich,XML100_1111_12,100,0,4,None,33059.0,100.0,0.000006
My-Euristich,XML100_1111_13,100,0,4,None,31387.0,100.0,0.000032
My-Euristich,XML100_1111_14,100,0,4,None,33469.0,100.0,0.000018
My-Euristich,XML100_1111_15,100,0,3,None,38924.0,100.0,0.000011
My-Euristich,XML100_1111_16,100,0,3,None,30145.0,100.0,0.000006
My-Euristich,XML100_1111_17,100,0,4,None,33605.0,100.0,0.000015
My-Euristich,XML100_1111_18,100,0,4,None,29087.0,100.0,0.000015
My-Euristich,XML100_1111_19,100,0,4,None,22719.0,100.0,0.000015
My-Euristich,XML100_1111_20,100,0,4,None,36098.0,100.0,0.000008
My-Euristich,XML100_1111_21,100,0,4,None,25052.0,100.0,0.000007
My-Euristich,XML100_1111_22,100,0,3,None,55795.0,100.0,0.000013
My-Euristich,XML100_1111_23,100,0,4,None,37197.0,100.0,0.000009
My-Euristich,XML100_1111_24,100,0,4,None,36733.0,100.0,0.000006
My-Euristich,XML100_1111_25,100,0,4,None,33710.0,100.0,0.000005
My-Euristich,XML100_1111_26,100,0,3,None,37730.0,100.0,0.000010
My-Euristich,XML100_1111_27,100,0,4,None,34996.0,100.0,0.000013
My-Euristich,XML100_1112_01,100,0,5,None,24781.0,100.0,0.000007
My-Euristich,XML100_1112_02,100,0,6,None,22916.0,100.0,0.000020
My-Euristich,XML100_1112_03,100,0,5,None,26980.0,100.0,0.000014
My-Euristich,XML100_1112_04,100,0,5,None,20461.0,100.0,0.000030
My-Euristich,XML100_1112_05,100,0,5,None,27833.0,100.0,0.000027
My-Euristich,XML100_1112_06,100,0,6,None,22830.0,100.0,0.000007
My-Euristich,XML100_1112_07,100,0,6,None,23362.0,100.0,0.000017
My-Euristich,XML100_1112_08,100,0,7,None,21549.0,100.0,0.000016
My-Euristich,XML100_1112_09,100,0,7,None,24512.0,100.0,0.000007
My-Euristich,XML100_1112_10,100,0,5,None,25194.0,100.0,0.000005
My-Euristich,XML100_1112_11,100,0,6,None,22629.0,100.0,0.000012
My-Euristich,XML100_1112_12,100,0,6,None,19645.0,100.0,0.000015
My-Euristich,XML100_1112_13,100,0,7,None,21710.0,100.0,0.000009
My-Euristich,XML100_1112_14,100,0,5,None,26274.0,100.0,0.000006
My-Euristich,XML100_1112_15,100,0,5,None,24272.0,100.0,0.000010
My-Euristich,XML100_1112_16,100,0,7,None,19017.0,100.0,0.000029
My-Euristich,XML100_1112_17,100,0,6,None,24215.0,100.0,0.000008
My-Euristich,XML100_1112_18,100,0,6,None,23599.0,100.0,0.000005
My-Euristich,XML100_1112_19,100,0,6,None,22294.0,100.0,0.000005
My-Euristich,XML100_1112_20,100,0,6,None,18654.0,100.0,0.000013
My-Euristich,XML100_1112_21,100,0,5,None,23786.0,100.0,0.000008
My-Euristich,XML100_1112_22,100,0,6,None,23315.0,100.0,0.000005
My-Euristich,XML100_1112_23,100,0,5,None,24503.0,100.0,0.000005
My-Euristich,XML100_1112_24,100,0,6,None,23904.0,100.0,0.000007
My-Euristich,XML100_1112_25,100,0,5,None,22054.0,100.0,0.000015
My-Euristich,XML100_1112_26,100,0,7,None,16307.0,100.0,0.000005
My-Euristich,XML100_1112_27,100,0,5,None,20487.0,100.0,0.000006
My-Euristich,XML100_1113_01,100,0,11,None,14740.0,100.0,0.000005
My-Euristich,XML100_1113_02,100,0,10,None,12795.0,100.0,0.000040
My-Euristich,XML100_1113_03,100,0,10,None,16763.0,100.0,0.000008
My-Euristich,XML100_1113_04,100,0,8,None,19276.0,100.0,0.000005
My-Euristich,XML100_1113_05,100,0,11,None,17473.0,100.0,0.000015
My-Euristich,XML100_1113_06,100,0,10,None,15063.0,100.0,0.000015
My-Euristich,XML100_1113_07,100,0,10,None,14550.0,100.0,0.000014
My-Euristich,XML100_1113_08,100,0,8,None,19200.0,100.0,0.000006
My-Euristich,XML100_1113_09,100,0,9,None,16643.0,100.0,0.000005
My-Euristich,XML100_1113_10,100,0,10,None,15675.0,100.0,0.000005
My-Euristich,XML100_1113_11,100,0,9,None,15838.0,100.0,0.000008
My-Euristich,XML100_1113_12,100,0,9,None,15439.0,100.0,0.000013
My-Euristich,XML100_1113_13,100,0,11,None,15302.0,100.0,0.000006
My-Euristich,XML100_1113_14,100,0,11,None,15157.0,100.0,0.000007
My-Euristich,XML100_1113_15,100,0,8,None,16750.0,100.0,0.000007
My-Euristich,XML100_1113_16,100,0,9,None,15674.0,100.0,0.000012
My-Euristich,XML100_1113_17,100,0,10,None,19367.0,100.0,0.000009
My-Euristich,XML100_1113_18,100,0,10,None,17451.0,100.0,0.000006
My-Euristich,XML100_1113_19,100,0,10,None,12189.0,100.0,0.000005
My-Euristich,XML100_1113_20,100,0,10,None,18200.0,100.0,0.000031
