Method,Instance,N,K,Q,Cost,Optimal_Value,Optimality_Gap(%),Processing_Time(s)
My-Euristich,A-n32-k5,31,5,100,1337.0,784.0,70.54,0.000300
My-Euristich,A-n33-k5,32,5,100,1198.0,661.0,81.24,0.000315
My-Euristich,A-n33-k6,32,6,100,1163.0,742.0,56.74,0.000387
My-Euristich,A-n34-k5,33,5,100,939.0,778.0,20.69,0.000308
My-Euristich,A-n36-k5,35,5,100,1087.0,799.0,36.05,0.000348
My-Euristich,A-n37-k5,36,5,100,1085.0,669.0,62.18,0.000327
My-Euristich,A-n37-k6,36,6,100,1273.0,949.0,34.14,0.000432
My-Euristich,A-n38-k5,37,5,100,1112.0,730.0,52.33,0.000382
My-Euristich,A-n39-k5,38,5,100,1265.0,822.0,53.89,0.000376
My-Euristich,A-n39-k6,38,6,100,1311.0,831.0,57.76,0.000447
My-Euristich,A-n44-k6,43,6,100,1248.0,937.0,33.19,0.000495
My-Euristich,A-n45-k6,44,6,100,None,944.0,100.0,0.000543
My-Euristich,A-n45-k7,44,7,100,1545.0,1146.0,34.82,0.000517
My-Euristich,A-n46-k7,45,7,100,1455.0,914.0,59.19,0.000527
My-Euristich,A-n48-k7,47,7,100,1543.0,1073.0,43.8,0.000587
My-Euristich,A-n53-k7,52,7,100,1679.0,1010.0,66.24,0.000689
My-Euristich,A-n54-k7,53,7,100,1604.0,1167.0,37.45,0.000637
My-Euristich,A-n55-k9,54,9,100,1680.0,1073.0,56.57,0.000862
My-Euristich,A-n60-k9,59,9,100,2124.0,1354.0,56.87,0.000949
My-Euristich,A-n61-k9,60,9,100,None,1034.0,100.0,0.000994
My-Euristich,A-n62-k8,61,8,100,1913.0,1288.0,48.52,0.000830
My-Euristich,A-n63-k10,62,10,100,2213.0,1314.0,68.42,0.001031
My-Euristich,A-n63-k9,62,9,100,2164.0,1616.0,33.91,0.001115
My-Euristich,A-n64-k9,63,9,100,2126.0,1401.0,51.75,0.001179
My-Euristich,A-n65-k9,64,9,100,1959.0,1174.0,66.87,0.001049
My-Euristich,A-n69-k9,68,9,100,1945.0,1159.0,67.82,0.001095
My-Euristich,A-n80-k10,79,10,100,2515.0,1763.0,42.65,0.001461
