Method,Instance,N,Optimal_K,Euristich_K,Q,Cost,Optimal_Value,Optimality_Gap(%),Optimality_K_Gap(%),Processing_Time(s)
My-Euristich,XML100_3311_26,100,34,50.0,3,105871.0,64437.0,64.3,47.06,0.009606
My-Euristich,XML100_3311_24,100,34,50.0,3,89179.0,54503.0,63.62,47.06,0.009706
My-Euristich,XML100_3311_23,100,34,50.0,3,101968.0,58905.0,73.11,47.06,0.009628
My-Euristich,XML100_1111_26,100,34,50.0,3,71237.0,37730.0,88.81,47.06,0.009413
My-Euristich,XML100_1111_22,100,34,50.0,3,91428.0,55795.0,63.86,47.06,0.008852
My-Euristich,XML100_3211_23,100,34,50.0,3,123289.0,80307.0,53.52,47.06,0.009562
My-Euristich,XML100_3311_07,100,34,50.0,3,69229.0,41589.0,66.46,47.06,0.009808
My-Euristich,XML100_3311_13,100,34,50.0,3,91615.0,52717.0,73.79,47.06,0.009798
My-Euristich,XML100_3311_14,100,34,50.0,3,85798.0,53565.0,60.18,47.06,0.009562
My-Euristich,XML100_3311_11,100,34,50.0,3,91259.0,56254.0,62.23,47.06,0.009351
My-Euristich,XML100_3311_08,100,34,50.0,3,78589.0,48000.0,63.73,47.06,0.009622
My-Euristich,XML100_3311_10,100,34,50.0,3,80377.0,47093.0,70.68,47.06,0.009455
My-Euristich,XML100_3311_12,100,34,50.0,3,93772.0,58153.0,61.25,47.06,0.01027
My-Euristich,XML100_3311_18,100,34,50.0,3,90972.0,53656.0,69.55,47.06,0.009301
My-Euristich,XML100_3311_01,100,34,50.0,3,92747.0,57020.0,62.66,47.06,0.010145
My-Euristich,XML100_3211_20,100,34,50.0,3,104880.0,69035.0,51.92,47.06,0.009785
My-Euristich,XML100_3211_19,100,34,50.0,3,71255.0,47306.0,50.63,47.06,0.009781
My-Euristich,XML100_1211_11,100,34,50.0,3,69377.0,45515.0,52.43,47.06,0.010089
My-Euristich,XML100_1211_08,100,34,50.0,3,43832.0,26518.0,65.29,47.06,0.009484
My-Euristich,XML100_1211_02,100,34,50.0,3,103535.0,59187.0,74.93,47.06,0.009554
My-Euristich,XML100_1211_05,100,34,50.0,3,70412.0,39139.0,79.9,47.06,0.009409
My-Euristich,XML100_1211_07,100,34,50.0,3,68902.0,42832.0,60.87,47.06,0.009615
My-Euristich,XML100_1211_01,100,34,50.0,3,76295.0,44590.0,71.1,47.06,0.009528
My-Euristich,XML100_1211_03,100,34,50.0,3,59614.0,34590.0,72.34,47.06,0.009509
My-Euristich,XML100_3111_09,100,34,50.0,3,95116.0,56262.0,69.06,47.06,0.00955
My-Euristich,XML100_3111_06,100,34,50.0,3,92248.0,54854.0,68.17,47.06,0.010606
My-Euristich,XML100_1211_22,100,34,50.0,3,41338.0,23386.0,76.76,47.06,0.009635
My-Euristich,XML100_1211_23,100,34,50.0,3,88974.0,54144.0,64.33,47.06,0.009445
My-Euristich,XML100_1211_24,100,34,50.0,3,60289.0,33265.0,81.24,47.06,0.009518
My-Euristich,XML100_1211_26,100,34,50.0,3,62989.0,38538.0,63.45,47.06,0.009835
My-Euristich,XML100_3111_07,100,34,50.0,3,92704.0,54461.0,70.22,47.06,0.008951
My-Euristich,XML100_3211_01,100,34,50.0,3,74467.0,49149.0,51.51,47.06,0.010095
My-Euristich,XML100_3111_25,100,34,50.0,3,99259.0,59078.0,68.01,47.06,0.009619
My-Euristich,XML100_3111_21,100,34,50.0,3,87949.0,54432.0,61.58,47.06,0.009877
My-Euristich,XML100_3111_14,100,34,50.0,3,93141.0,57013.0,63.37,47.06,0.009269
My-Euristich,XML100_3111_16,100,34,50.0,3,93997.0,56155.0,67.39,47.06,0.009521
My-Euristich,XML100_3111_17,100,34,50.0,3,97079.0,57342.0,69.3,47.06,0.010039
My-Euristich,XML100_3111_18,100,34,50.0,3,94784.0,55432.0,70.99,47.06,0.00979
My-Euristich,XML100_3111_12,100,34,50.0,3,89189.0,51793.0,72.2,47.06,0.010252
My-Euristich,XML100_3111_26,100,34,50.0,3,94502.0,57108.0,65.48,47.06,0.009368
My-Euristich,XML100_3211_04,100,34,50.0,3,49466.0,31510.0,56.99,47.06,0.009776
My-Euristich,XML100_3211_05,100,34,50.0,3,85977.0,55983.0,53.58,47.06,0.009966
My-Euristich,XML100_3211_09,100,34,50.0,3,74890.0,49176.0,52.29,47.06,0.009788
My-Euristich,XML100_3211_13,100,34,50.0,3,68806.0,44210.0,55.63,47.06,0.009718
My-Euristich,XML100_3211_11,100,34,50.0,3,66974.0,42928.0,56.01,47.06,0.009534
My-Euristich,XML100_3211_12,100,34,50.0,3,102130.0,60457.0,68.93,47.06,0.009609
My-Euristich,XML100_1211_13,100,34,50.0,3,55402.0,32948.0,68.15,47.06,0.009781
My-Euristich,XML100_1211_10,100,34,50.0,3,65516.0,41618.0,57.42,47.06,0.010517
My-Euristich,XML100_3111_10,100,34,50.0,3,97041.0,57233.0,69.55,47.06,0.010091
My-Euristich,XML100_2211_17,100,34,50.0,3,45126.0,26209.0,72.18,47.06,0.009985
My-Euristich,XML100_2211_15,100,34,50.0,3,46475.0,25135.0,84.9,47.06,0.009533
My-Euristich,XML100_2211_16,100,34,50.0,3,49481.0,27538.0,79.68,47.06,0.009802
My-Euristich,XML100_2211_11,100,34,50.0,3,51943.0,26934.0,92.85,47.06,0.009486
My-Euristich,XML100_2211_12,100,34,50.0,3,32499.0,19296.0,68.42,47.06,0.009591
My-Euristich,XML100_2211_10,100,34,50.0,3,60535.0,28880.0,109.61,47.06,0.010211
My-Euristich,XML100_2211_07,100,34,50.0,3,47584.0,26275.0,81.1,47.06,0.009696
My-Euristich,XML100_2111_22,100,34,50.0,3,59868.0,28572.0,109.53,47.06,0.009522
My-Euristich,XML100_2111_25,100,34,50.0,3,58942.0,28372.0,107.75,47.06,0.009724
My-Euristich,XML100_2211_01,100,34,50.0,3,37916.0,22665.0,67.29,47.06,0.010231
