Method,Instance,N,Optimal_K,Euristich_K,Q,Cost,Optimal_Value,Optimality_Gap(%),Optimality_K_Gap(%),Processing_Time(s)
My-Euristich,XML100_1111_01,100,25,34,4,48136.0,29888.0,61.05,36.0,0.007323
My-Euristich,XML100_1111_02,100,25,34,4,59541.0,38374.0,55.16,36.0,0.007265
My-Euristich,XML100_1111_03,100,25,34,4,44117.0,26322.0,67.61,36.0,0.007660
My-Euristich,XML100_1111_04,100,34,50,3,69301.0,37554.0,84.54,47.06,0.010463
My-Euristich,XML100_1111_05,100,25,34,4,52985.0,33149.0,59.84,36.0,0.007216
My-Euristich,XML100_1111_06,100,25,34,4,46217.0,27039.0,70.93,36.0,0.006844
My-Euristich,XML100_1111_07,100,34,50,3,75054.0,43143.0,73.97,47.06,0.010059
My-Euristich,XML100_1111_08,100,25,34,4,48940.0,30140.0,62.38,36.0,0.007129
My-Euristich,XML100_1111_09,100,34,50,3,77468.0,44883.0,72.6,47.06,0.010346
My-Euristich,XML100_1111_10,100,34,50,3,62312.0,33868.0,83.98,47.06,0.010315
My-Euristich,XML100_1111_11,100,25,34,4,52297.0,33202.0,57.51,36.0,0.007289
My-Euristich,XML100_1111_12,100,25,34,4,55517.0,33059.0,67.93,36.0,0.007166
My-Euristich,XML100_1111_13,100,25,34,4,50588.0,31387.0,61.18,36.0,0.008071
My-Euristich,XML100_1111_14,100,25,34,4,52427.0,33469.0,56.64,36.0,0.007397
My-Euristich,XML100_1111_15,100,34,50,3,66715.0,38924.0,71.4,47.06,0.009804
My-Euristich,XML100_1111_16,100,34,50,3,61747.0,30145.0,104.83,47.06,0.010077
My-Euristich,XML100_1111_17,100,25,34,4,52690.0,33605.0,56.79,36.0,0.007225
My-Euristich,XML100_1111_18,100,25,34,4,47941.0,29087.0,64.82,36.0,0.007401
My-Euristich,XML100_1111_19,100,25,34,4,41800.0,22719.0,83.99,36.0,0.007282
My-Euristich,XML100_1111_20,100,25,34,4,59531.0,36098.0,64.91,36.0,0.007151
My-Euristich,XML100_1111_21,100,25,34,4,46574.0,25052.0,85.91,36.0,0.006860
My-Euristich,XML100_1111_22,100,34,50,3,91428.0,55795.0,63.86,47.06,0.010519
My-Euristich,XML100_1111_23,100,25,34,4,56651.0,37197.0,52.3,36.0,0.006958
My-Euristich,XML100_1111_24,100,25,34,4,53370.0,36733.0,45.29,36.0,0.006968
My-Euristich,XML100_1111_25,100,25,34,4,51262.0,33710.0,52.07,36.0,0.006930
My-Euristich,XML100_1111_26,100,34,50,3,71237.0,37730.0,88.81,47.06,0.009860
My-Euristich,XML100_1111_27,100,25,34,4,54957.0,34996.0,57.04,36.0,0.007742
My-Euristich,XML100_1112_01,100,20,25,5,35437.0,24781.0,43.0,25.0,0.006299
