Method,Instance,N,Optimal_K,Euristich_K,Q,Cost,Optimal_Value,Optimality_Gap(%),Optimality_K_Gap(%),Processing_Time(s)
My-Euristich,XML100_1111_01,100,25,25,4,36547.0,29888.0,22.28,0.0,0.005216
My-Euristich,XML100_1111_02,100,25,25,4,46135.0,38374.0,20.22,0.0,0.006379
My-Euristich,XML100_1111_03,100,25,25,4,36326.0,26322.0,38.01,0.0,0.005043
My-Euristich,XML100_1111_04,100,34,34,3,48067.0,37554.0,27.99,0.0,0.006945
My-Euristich,XML100_1111_05,100,25,25,4,40197.0,33149.0,21.26,0.0,0.004868
My-Euristich,XML100_1111_06,100,25,25,4,38026.0,27039.0,40.63,0.0,0.005282
My-Euristich,XML100_1111_07,100,34,34,3,55769.0,43143.0,29.27,0.0,0.007910
My-Euristich,XML100_1111_08,100,25,25,4,37176.0,30140.0,23.34,0.0,0.005394
My-Euristich,XML100_1111_09,100,34,34,3,52080.0,44883.0,16.04,0.0,0.006180
My-Euristich,XML100_1111_10,100,34,34,3,45026.0,33868.0,32.95,0.0,0.007027
My-Euristich,XML100_1111_11,100,25,25,4,41104.0,33202.0,23.8,0.0,0.005194
My-Euristich,XML100_1111_12,100,25,25,4,42886.0,33059.0,29.73,0.0,0.005244
My-Euristich,XML100_1111_13,100,25,25,4,38164.0,31387.0,21.59,0.0,0.005281
My-Euristich,XML100_1111_14,100,25,25,4,40756.0,33469.0,21.77,0.0,0.005168
My-Euristich,XML100_1111_15,100,34,34,3,49418.0,38924.0,26.96,0.0,0.007208
My-Euristich,XML100_1111_16,100,34,34,3,43226.0,30145.0,43.39,0.0,0.006276
My-Euristich,XML100_1111_17,100,25,25,4,40349.0,33605.0,20.07,0.0,0.005126
My-Euristich,XML100_1111_18,100,25,25,4,38990.0,29087.0,34.05,0.0,0.004886
My-Euristich,XML100_1111_19,100,25,25,4,32920.0,22719.0,44.9,0.0,0.005270
My-Euristich,XML100_1111_20,100,25,25,4,45969.0,36098.0,27.35,0.0,0.005392
My-Euristich,XML100_1111_21,100,25,25,4,37432.0,25052.0,49.42,0.0,0.004956
My-Euristich,XML100_1111_22,100,34,34,3,64372.0,55795.0,15.37,0.0,0.006686
My-Euristich,XML100_1111_23,100,25,25,4,43604.0,37197.0,17.22,0.0,0.005006
My-Euristich,XML100_1111_24,100,25,25,4,43196.0,36733.0,17.59,0.0,0.005726
My-Euristich,XML100_1111_25,100,25,25,4,39010.0,33710.0,15.72,0.0,0.004986
My-Euristich,XML100_1111_26,100,34,34,3,52767.0,37730.0,39.85,0.0,0.007030
My-Euristich,XML100_1111_27,100,25,25,4,40539.0,34996.0,15.84,0.0,0.005013
My-Euristich,XML100_1112_01,100,20,20,5,31398.0,24781.0,26.7,0.0,0.004362
My-Euristich,XML100_1112_02,100,17,17,6,29967.0,22916.0,30.77,0.0,0.003849
My-Euristich,XML100_1112_03,100,20,20,5,32851.0,26980.0,21.76,0.0,0.005501
My-Euristich,XML100_1112_04,100,20,20,5,27990.0,20461.0,36.8,0.0,0.004593
My-Euristich,XML100_1112_05,100,20,20,5,34226.0,27833.0,22.97,0.0,0.004542
My-Euristich,XML100_1112_06,100,17,17,6,27884.0,22830.0,22.14,0.0,0.003918
My-Euristich,XML100_1112_07,100,17,17,6,27663.0,23362.0,18.41,0.0,0.004258
My-Euristich,XML100_1112_08,100,15,15,7,27699.0,21549.0,28.54,0.0,0.003574
My-Euristich,XML100_1112_09,100,15,15,7,30606.0,24512.0,24.86,0.0,0.003831
My-Euristich,XML100_1112_10,100,20,20,5,30709.0,25194.0,21.89,0.0,0.004347
My-Euristich,XML100_1112_11,100,17,17,6,27620.0,22629.0,22.06,0.0,0.004317
My-Euristich,XML100_1112_12,100,17,17,6,25984.0,19645.0,32.27,0.0,0.003706
My-Euristich,XML100_1112_13,100,15,15,7,28771.0,21710.0,32.52,0.0,0.004250
My-Euristich,XML100_1112_14,100,20,20,5,30662.0,26274.0,16.7,0.0,0.004211
My-Euristich,XML100_1112_15,100,20,20,5,29893.0,24272.0,23.16,0.0,0.004926
My-Euristich,XML100_1112_16,100,15,15,7,26021.0,19017.0,36.83,0.0,0.003426
My-Euristich,XML100_1112_17,100,17,17,6,29638.0,24215.0,22.4,0.0,0.003964
My-Euristich,XML100_1112_18,100,17,17,6,27926.0,23599.0,18.34,0.0,0.003799
My-Euristich,XML100_1112_19,100,17,17,6,29855.0,22294.0,33.91,0.0,0.003777
My-Euristich,XML100_1112_20,100,17,17,6,25853.0,18654.0,38.59,0.0,0.003810
My-Euristich,XML100_1112_21,100,20,20,5,28816.0,23786.0,21.15,0.0,0.004280
My-Euristich,XML100_1112_22,100,17,17,6,29202.0,23315.0,25.25,0.0,0.003855
