Method,Instance,N,K,Q,Cost,Optimal_Value,Optimality_Gap(%),Processing_Time(s)
Sweep,XML100_1111_01,100,0,4,39831.0,29888.0,33.27,0.000208
Sweep,XML100_1111_02,100,0,4,51132.0,38374.0,33.25,0.000191
Sweep,XML100_1111_03,100,0,4,37224.0,26322.0,41.42,0.000195
Sweep,XML100_1111_04,100,0,3,47082.0,37554.0,25.37,0.000200
Sweep,XML100_1111_05,100,0,4,51819.0,33149.0,56.32,0.000183
Sweep,XML100_1111_06,100,0,4,32431.0,27039.0,19.94,0.000244
Sweep,XML100_1111_07,100,0,3,53775.0,43143.0,24.64,0.000196
Sweep,XML100_1111_08,100,0,4,42226.0,30140.0,40.1,0.000182
Sweep,XML100_1111_09,100,0,3,55238.0,44883.0,23.07,0.000206
Sweep,XML100_1111_10,100,0,3,46510.0,33868.0,37.33,0.000321
Sweep,XML100_1111_11,100,0,4,47512.0,33202.0,43.1,0.000190
Sweep,XML100_1111_12,100,0,4,42977.0,33059.0,30.0,0.000170
Sweep,XML100_1111_13,100,0,4,41166.0,31387.0,31.16,0.000197
Sweep,XML100_1111_14,100,0,4,45274.0,33469.0,35.27,0.000208
Sweep,XML100_1111_15,100,0,3,53989.0,38924.0,38.7,0.000204
Sweep,XML100_1111_16,100,0,3,37305.0,30145.0,23.75,0.000201
Sweep,XML100_1111_17,100,0,4,51108.0,33605.0,52.08,0.000206
Sweep,XML100_1111_18,100,0,4,38959.0,29087.0,33.94,0.000223
Sweep,XML100_1111_19,100,0,4,31892.0,22719.0,40.38,0.000197
Sweep,XML100_1111_20,100,0,4,47678.0,36098.0,32.08,0.000193
Sweep,XML100_1111_21,100,0,4,33857.0,25052.0,35.15,0.000192
Sweep,XML100_1111_22,100,0,3,71148.0,55795.0,27.52,0.000231
Sweep,XML100_1111_23,100,0,4,55183.0,37197.0,48.35,0.000181
Sweep,XML100_1111_24,100,0,4,52325.0,36733.0,42.45,0.000191
Sweep,XML100_1111_25,100,0,4,48188.0,33710.0,42.95,0.000182
Sweep,XML100_1111_26,100,0,3,45678.0,37730.0,21.07,0.000343
Sweep,XML100_1111_27,100,0,4,47698.0,34996.0,36.3,0.000188
Sweep,XML100_1112_01,100,0,5,36679.0,24781.0,48.01,0.000166
Sweep,XML100_1112_02,100,0,6,36645.0,22916.0,59.91,0.000169
Sweep,XML100_1112_03,100,0,5,41355.0,26980.0,53.28,0.000184
Sweep,XML100_1112_04,100,0,5,28263.0,20461.0,38.13,0.000171
Sweep,XML100_1112_05,100,0,5,43023.0,27833.0,54.58,0.000161
Sweep,XML100_1112_06,100,0,6,34239.0,22830.0,49.97,0.000163
Sweep,XML100_1112_07,100,0,6,35827.0,23362.0,53.36,0.000169
Sweep,XML100_1112_08,100,0,7,37955.0,21549.0,76.13,0.000175
Sweep,XML100_1112_09,100,0,7,44906.0,24512.0,83.2,0.000158
Sweep,XML100_1112_10,100,0,5,34935.0,25194.0,38.66,0.000209
Sweep,XML100_1112_11,100,0,6,41497.0,22629.0,83.38,0.000189
Sweep,XML100_1112_12,100,0,6,29957.0,19645.0,52.49,0.000251
Sweep,XML100_1112_13,100,0,7,37570.0,21710.0,73.05,0.000161
Sweep,XML100_1112_14,100,0,5,41396.0,26274.0,57.55,0.000179
Sweep,XML100_1112_15,100,0,5,37302.0,24272.0,53.68,0.000402
Sweep,XML100_1112_16,100,0,7,32529.0,19017.0,71.05,0.000197
Sweep,XML100_1112_17,100,0,6,36907.0,24215.0,52.41,0.000162
Sweep,XML100_1112_18,100,0,6,38869.0,23599.0,64.71,0.000272
Sweep,XML100_1112_19,100,0,6,36055.0,22294.0,61.73,0.000182
Sweep,XML100_1112_20,100,0,6,30938.0,18654.0,65.85,0.000163
Sweep,XML100_1112_21,100,0,5,31713.0,23786.0,33.33,0.000168
Sweep,XML100_1112_22,100,0,6,36283.0,23315.0,55.62,0.000248
Sweep,XML100_1112_23,100,0,5,36014.0,24503.0,46.98,0.000179
Sweep,XML100_1112_24,100,0,6,42102.0,23904.0,76.13,0.000163
Sweep,XML100_1112_25,100,0,5,31395.0,22054.0,42.36,0.000180
Sweep,XML100_1112_26,100,0,7,28925.0,16307.0,77.38,0.000187
Sweep,XML100_1112_27,100,0,5,27740.0,20487.0,35.4,0.000166
Sweep,XML100_1113_01,100,0,11,27871.0,14740.0,89.08,0.000153
Sweep,XML100_1113_02,100,0,10,19840.0,12795.0,55.06,0.000160
Sweep,XML100_1113_03,100,0,10,35258.0,16763.0,110.33,0.000210
Sweep,XML100_1113_04,100,0,8,34144.0,19276.0,77.13,0.000160
Sweep,XML100_1113_05,100,0,11,41270.0,17473.0,136.19,0.000160
Sweep,XML100_1113_06,100,0,10,29183.0,15063.0,93.74,0.000153
Sweep,XML100_1113_07,100,0,10,26401.0,14550.0,81.45,0.000158
Sweep,XML100_1113_08,100,0,8,37057.0,19200.0,93.01,0.000184
Sweep,XML100_1113_09,100,0,9,31455.0,16643.0,89.0,0.000161
Sweep,XML100_1113_10,100,0,10,35256.0,15675.0,124.92,0.000159
Sweep,XML100_1113_11,100,0,9,31227.0,15838.0,97.17,0.000169
Sweep,XML100_1113_12,100,0,9,25827.0,15439.0,67.28,0.000166
Sweep,XML100_1113_13,100,0,11,33264.0,15302.0,117.38,0.000150
Sweep,XML100_1113_14,100,0,11,32612.0,15157.0,115.16,0.000150
Sweep,XML100_1113_15,100,0,8,32926.0,16750.0,96.57,0.000164
Sweep,XML100_1113_16,100,0,9,30666.0,15674.0,95.65,0.000168
Sweep,XML100_1113_17,100,0,10,39747.0,19367.0,105.23,0.000163
