Method,Instance,N,K,Q,Cost,Optimal_Value,Optimality_Gap(%),Processing_Time(s)
Sweep,A-n32-k5,31,5,100,1384.0,784.0,76.53,0.000087
Sweep,A-n33-k5,32,5,100,915.0,661.0,38.43,0.000063
Sweep,A-n33-k6,32,6,100,947.0,742.0,27.63,0.000086
Sweep,A-n34-k5,33,5,100,926.0,778.0,19.02,0.000091
Sweep,A-n36-k5,35,5,100,1246.0,799.0,55.94,0.000071
Sweep,A-n37-k5,36,5,100,1000.0,669.0,49.48,0.000063
Sweep,A-n37-k6,36,6,100,1380.0,949.0,45.42,0.000064
Sweep,A-n38-k5,37,5,100,1179.0,730.0,61.51,0.000063
Sweep,A-n39-k5,38,5,100,1279.0,822.0,55.6,0.000065
Sweep,A-n39-k6,38,6,100,1313.0,831.0,58.0,0.000067
Sweep,A-n44-k6,43,6,100,1569.0,937.0,67.45,0.000074
Sweep,A-n45-k6,44,6,100,1357.0,944.0,43.75,0.000072
Sweep,A-n45-k7,44,7,100,1660.0,1146.0,44.85,0.000074
Sweep,A-n46-k7,45,7,100,1458.0,914.0,59.52,0.000077
Sweep,A-n48-k7,47,7,100,1667.0,1073.0,55.36,0.000082
Sweep,A-n53-k7,52,7,100,1504.0,1010.0,48.91,0.000088
Sweep,A-n54-k7,53,7,100,2014.0,1167.0,72.58,0.000143
Sweep,A-n55-k9,54,9,100,1586.0,1073.0,47.81,0.000096
Sweep,A-n60-k9,59,9,100,2210.0,1354.0,63.22,0.000137
Sweep,A-n61-k9,60,9,100,1372.0,1034.0,32.69,0.000103
Sweep,A-n62-k8,61,8,100,2542.0,1288.0,97.36,0.000103
Sweep,A-n63-k10,62,10,100,2081.0,1314.0,58.37,0.000106
Sweep,A-n63-k9,62,9,100,2720.0,1616.0,68.32,0.000133
Sweep,A-n64-k9,63,9,100,2437.0,1401.0,73.95,0.000172
Sweep,A-n65-k9,64,9,100,1681.0,1174.0,43.19,0.000154
Sweep,A-n69-k9,68,9,100,1751.0,1159.0,51.08,0.000152
Sweep,A-n80-k10,79,10,100,3215.0,1763.0,82.36,0.000179
